,관리번호,자치구_x,와이파이명,도로명주소,상세주소,설치위치(층),설치유형,설치기관,서비스구분,망종류,설치년도,실내외구분,wifi접속환경,X좌표,Y좌표,작업일자,자치구_y,AP별 이용량(GB),이용량
0,ARI00001,서대문구,상수도사업본부,서소문로 51,본관 1F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,"2,960.58 GB","2,960.58 "
1,ARI00002,서대문구,상수도사업본부,서소문로 51,본관 2F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,0.00 GB,0.00 
2,ARI00003,서대문구,상수도사업본부,서소문로 51,본관 2F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,764.94 GB,764.94 
3,ARI00004,서대문구,상수도사업본부,서소문로 51,본관 2F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,321.82 GB,321.82 
4,ARI00005,서대문구,상수도사업본부,서소문로 51,본관 2F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,"1,467.67 GB","1,467.67 "
5,ARI00008,서대문구,상수도사업본부,서소문로 51,본관 2F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,"1,412.81 GB","1,412.81 "
6,ARI00009,서대문구,상수도사업본부,서소문로 51,본관 2F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,133.31 GB,133.31 
7,ARI00010,서대문구,상수도사업본부,서소문로 51,본관 3F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,483.29 GB,483.29 
8,ARI00011,서대문구,상수도사업본부,서소문로 51,본관 3F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,588.67 GB,588.67 
9,ARI00012,서대문구,상수도사업본부,서소문로 51,본관 3F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,425.88 GB,425.88 
10,ARI00013,서대문구,상수도사업본부,서소문로 51,본관 3F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,285.16 GB,285.16 
11,ARI00014,서대문구,상수도사업본부,서소문로 51,본관 3F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,"1,381.86 GB","1,381.86 "
12,ARI00015,서대문구,상수도사업본부,서소문로 51,본관 4F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,421.68 GB,421.68 
13,ARI00016,서대문구,상수도사업본부,서소문로 51,본관 4F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,889.50 GB,889.50 
14,ARI00018,서대문구,상수도사업본부,서소문로 51,본관 4F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,186.94 GB,186.94 
15,ARI00019,서대문구,상수도사업본부,서소문로 51,본관 4F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,898.07 GB,898.07 
16,ARI00020,서대문구,상수도사업본부,서소문로 51,본관 4F,,7-1. 커뮤니티 - 행정,서울시(AP),공공WiFi,수도사업소자가망,2014,실내,,126.96675,37.561924,2021-12-14 10:57,서대문구,630.09 GB,630.09 
